#        x              poli            horner        diferencia
  -2.232000e-01    1.061164e+04    1.061164e+04    0.000000e+00
  -2.224000e-01    1.060514e+04    1.060514e+04    9.765625e-04
  -2.216000e-01    1.059865e+04    1.059865e+04    9.765625e-04
  -2.208000e-01    1.059217e+04    1.059217e+04    9.765625e-04
  -2.200000e-01    1.058571e+04    1.058571e+04    9.765625e-04
  -2.192000e-01    1.057926e+04    1.057926e+04    0.000000e+00
  -2.184000e-01    1.057282e+04    1.057282e+04    0.000000e+00
  -2.176000e-01    1.056640e+04    1.056640e+04    0.000000e+00
  -2.168000e-01    1.055998e+04    1.055998e+04    0.000000e+00
  -2.160000e-01    1.055358e+04    1.055358e+04    0.000000e+00
  -2.152000e-01    1.054719e+04    1.054719e+04    0.000000e+00
  -2.144000e-01    1.054082e+04    1.054082e+04    9.765625e-04
  -2.136000e-01    1.053446e+04    1.053446e+04    0.000000e+00
  -2.128000e-01    1.052811e+04    1.052811e+04    0.000000e+00
  -2.120000e-01    1.052177e+04    1.052177e+04    0.000000e+00
  -2.112000e-01    1.051545e+04    1.051545e+04    9.765625e-04
  -2.104000e-01    1.050913e+04    1.050913e+04    0.000000e+00
  -2.096000e-01    1.050283e+04    1.050283e+04    9.765625e-04
  -2.088000e-01    1.049655e+04    1.049655e+04    9.765625e-04
  -2.080000e-01    1.049027e+04    1.049027e+04    9.765625e-04
  -2.072000e-01    1.048401e+04    1.048401e+04    9.765625e-04
  -2.064000e-01    1.047776e+04    1.047776e+04    0.000000e+00
  -2.056000e-01    1.047153e+04    1.047153e+04    0.000000e+00
  -2.048000e-01    1.046530e+04    1.046530e+04    9.765625e-04
  -2.040000e-01    1.045909e+04    1.045909e+04    0.000000e+00
  -2.032000e-01    1.045289e+04    1.045289e+04    0.000000e+00
  -2.024000e-01    1.044671e+04    1.044671e+04    9.765625e-04
  -2.016000e-01    1.044053e+04    1.044053e+04    9.765625e-04
  -2.008000e-01    1.043437e+04    1.043437e+04    9.765625e-04
  -2.000000e-01    1.042822e+04    1.042822e+04    9.765625e-04
  -1.992000e-01    1.042208e+04    1.042208e+04    0.000000e+00
  -1.984000e-01    1.041596e+04    1.041596e+04    0.000000e+00
  -1.976000e-01    1.040985e+04    1.040985e+04    0.000000e+00
  -1.968000e-01    1.040375e+04    1.040375e+04    9.765625e-04
  -1.960000e-01    1.039767e+04    1.039766e+04    9.765625e-04
  -1.952000e-01    1.039159e+04    1.039159e+04    9.765625e-04
  -1.944000e-01    1.038553e+04    1.038553e+04    0.000000e+00
  -1.936000e-01    1.037948e+04    1.037948e+04    9.765625e-04
  -1.928000e-01    1.037344e+04    1.037344e+04    0.000000e+00
  -1.920000e-01    1.036742e+04    1.036742e+04    9.765625e-04
  -1.912000e-01    1.036141e+04    1.036141e+04    0.000000e+00
  -1.904000e-01    1.035541e+04    1.035541e+04    9.765625e-04
  -1.896000e-01    1.034942e+04    1.034942e+04    0.000000e+00
  -1.888000e-01    1.034344e+04    1.034345e+04    9.765625e-04
  -1.880000e-01    1.033748e+04    1.033748e+04    0.000000e+00
  -1.872000e-01    1.033153e+04    1.033153e+04    0.000000e+00
  -1.864000e-01    1.032560e+04    1.032560e+04    9.765625e-04
  -1.856000e-01    1.031967e+04    1.031967e+04    9.765625e-04
  -1.848000e-01    1.031376e+04    1.031376e+04    9.765625e-04
  -1.840000e-01    1.030786e+04    1.030786e+04    9.765625e-04
  -1.832000e-01    1.030197e+04    1.030197e+04    0.000000e+00
  -1.824000e-01    1.029609e+04    1.029609e+04    9.765625e-04
