#doneu m, a, b = 
#        x              poli            horner        diferencia
   8.445000e-01    2.591506e-06    1.668930e-06    9.225764e-07
   8.450000e-01    2.282893e-06    2.264977e-06    1.791636e-08
   8.455000e-01    1.804925e-06    1.609325e-06    1.955997e-07
   8.460000e-01    2.121391e-06    2.026558e-06    9.483324e-08
   8.465000e-01    2.659989e-06    1.609325e-06    1.050663e-06
   8.470000e-01    2.683543e-06    1.370907e-06    1.312637e-06
   8.475000e-01    2.003701e-06    1.847744e-06    1.559574e-07
   8.480000e-01    1.894573e-06    1.847744e-06    4.682931e-08
   8.485000e-01    1.675220e-06    1.728535e-06    5.331481e-08
   8.490000e-01    1.434287e-06    1.549721e-06    1.154340e-07
   8.495000e-01    2.336316e-06    2.741814e-06    4.054978e-07
   8.500000e-01    1.394107e-06    2.682209e-06    1.288102e-06
   8.505000e-01    1.285085e-06    1.311302e-06    2.621744e-08
   8.510000e-01    8.159882e-07    1.370907e-06    5.549186e-07
   8.515000e-01    1.531132e-06    2.145767e-06    6.146348e-07
   8.520000e-01    2.443838e-06    1.251698e-06    1.192140e-06
   8.525000e-01    1.791150e-06    9.536743e-07    8.374753e-07
   8.530000e-01    7.730417e-07    9.536743e-07    1.806326e-07
   8.535000e-01    1.111115e-06    1.668930e-06    5.578147e-07
   8.540000e-01    6.696760e-07    1.430511e-06    7.608355e-07
   8.545000e-01    1.018984e-06    1.072884e-06    5.389950e-08
   8.550000e-01    1.203660e-06    5.364418e-07    6.672183e-07
   8.555000e-01    2.207723e-06    1.192093e-06    1.015630e-06
   8.560000e-01    1.276578e-06    7.748604e-07    5.017174e-07
   8.565000e-01    8.539186e-07    1.907349e-06    1.053430e-06
   8.570000e-01    1.120732e-06    1.311302e-06    1.905701e-07
   8.575000e-01    8.089880e-07    5.364418e-07    2.725462e-07
   8.580000e-01    1.576788e-06    1.728535e-06    1.517467e-07
